N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori,N26_Ori,N27_Ori,N28_Ori,N29_Ori,N30_Ori,N31_Ori,N32_Ori,N33_Ori,N34_Ori,N35_Ori,N36_Ori,N37_Ori,N38_Ori,N39_Ori,N40_Ori,N41_Ori,N42_Ori,N43_Ori,N44_Ori,N45_Ori,N46_Ori,N47_Ori,N48_Ori,N49_Ori,N50_Ori,N51_Ori,N52_Ori,N53_Ori,N54_Ori,N55_Ori,N56_Ori
5.999998,10.999993,20.000008,20.0,14.000005,9.999998,6.9999967,10.999996,8.999998,12.999996,12.999996,9.000002,14.000007,12.0,14.000007,12.000005,5.0000067,5.0000033,2.9999967,7.000001,11.000002,9.999996,9.000005,5.0,9.999998,1.9999975,0.99999833,6.9999976,7.000002,6.0000033,5.000002,2.0000005,4.000002,5.0000052,9.000003,8.999998,9.000007,4.0000005,5.0000033,1.9999999,0.9999966,1.0000013,2.9999988,3.9999967,1.0000002,7.0000033,1.0000033,-1.695421e-06,4.0000033,1.9999995,1.9999987,-2.5431316e-06,1.2715658e-06,1.0,4.999999,1.695421e-06
37.0,51.999992,63.000008,69.0,95.00001,63.0,49.999996,65.0,43.0,32.999996,47.999996,39.0,64.00001,35.0,69.0,62.999996,49.0,31.000004,25.999996,32.0,55.999992,49.999996,63.999996,14.0,54.0,28.999998,25.999998,36.000004,68.0,69.0,63.0,2.0000005,46.0,29.999998,39.000004,50.999992,48.0,23.0,17.0,3.0,27.0,8.000001,6.9999986,17.999996,5.0,28.0,20.000004,11.0,26.000004,4.9999995,7.0000005,20.999998,6.0000014,8.0,20.0,6.000002
77.0,115.0,112.00001,130.0,146.0,101.0,69.0,76.0,86.0,67.0,79.0,79.0,85.0,66.0,94.0,81.0,102.0,65.0,45.999996,42.0,57.0,70.0,78.0,25.0,125.0,58.0,29.0,39.99999,89.0,93.0,94.0,10.0,94.0,71.0,63.0,88.0,74.0,33.0,38.0,5.0,39.0,32.0,13.999999,39.0,9.999998,48.0,45.0,15.0,48.0,18.0,12.000001,52.0,25.0,28.0,49.0,15.999998
66.0,140.0,135.0,162.0,174.0,103.0,71.0,86.0,73.0,91.0,107.0,90.0,118.0,71.0,95.0,88.0,105.0,92.0,66.0,64.0,95.0,82.0,99.0,23.0,136.0,57.0,36.0,60.999996,119.0,116.0,122.0,8.0,139.0,111.0,84.0,103.0,102.0,30.0,44.0,8.0,75.0,57.0,27.0,37.000004,8.0,45.0,50.0,22.0,70.0,24.0,13.000001,57.0,27.0,28.0,49.0,22.0
73.0,125.0,109.00001,136.0,129.0,98.0,76.0,85.0,74.0,117.0,101.0,78.0,107.0,62.0,105.0,88.0,113.0,116.0,64.0,68.0,88.0,74.0,90.0,24.0,126.0,68.0,49.0,58.999996,105.0,116.0,108.0,7.0000014,105.0,90.0,85.0,105.0,94.0,45.0,38.0,6.0,60.0,40.0,33.0,49.0,15.999999,54.0,40.0,13.0,60.0,35.0,15.000001,53.0,21.0,19.0,51.0,22.0
60.0,131.00002,94.00002,131.0,145.0,94.0,71.0,79.0,81.0,98.0,75.0,58.0,93.0,52.0,85.0,68.0,101.0,86.0,56.0,53.0,85.0,71.0,69.99999,19.0,130.0,44.000004,26.999998,54.999996,87.0,80.0,90.0,13.0,96.0,74.0,63.0,83.0,71.0,33.0,34.0,1.9999999,50.0,27.0,30.0,40.0,8.0,44.0,47.0,17.0,44.0,33.0,25.0,45.0,17.0,12.0,37.0,14.000002
61.0,118.00001,108.00001,114.0,117.00001,82.0,62.0,59.999996,73.0,80.0,62.999996,51.0,82.0,58.0,76.0,58.99999,83.0,74.0,35.999996,40.0,84.0,81.0,66.0,18.0,88.0,28.999998,17.999998,41.99999,89.0,95.0,87.0,8.0,85.0,61.999996,52.000004,82.0,77.0,36.0,35.0,5.0,37.0,22.000002,28.0,30.999996,9.0,42.0,41.0,12.0,38.0,25.0,19.0,41.999996,20.0,17.999998,29.999996,15.0
75.0,109.99999,101.00001,105.0,116.00001,84.0,70.0,67.0,78.0,80.0,67.0,55.999992,87.0,49.0,65.0,59.99999,70.0,63.000004,46.999996,41.000008,70.0,59.999996,68.0,16.999998,80.0,42.0,20.999998,37.000004,87.0,80.0,76.00001,8.0,69.0,59.999996,55.000004,77.0,68.0,31.0,24.0,6.0,40.0,19.000002,18.0,28.0,8.0,38.0,27.000004,14.0,31.000004,17.0,14.000001,35.999996,22.0,15.0,25.0,12.000002
63.0,100.99999,92.00001,95.0,107.00001,73.0,41.999996,57.999996,76.0,63.999996,63.999996,44.000008,78.0,46.0,64.00001,53.999996,77.00001,68.0,41.999996,46.0,68.00001,57.999996,58.999996,14.999998,82.99999,38.0,22.999998,34.000004,72.0,67.0,67.0,7.0000014,62.0,55.999996,47.000004,66.0,57.0,21.0,25.0,-1.05963814e-07,28.0,17.000002,20.0,27.000004,9.0,28.999996,31.0,13.0,25.000004,12.0,15.000001,32.999996,20.0,21.0,35.0,13.0
56.0,102.99999,89.00001,100.0,118.00001,78.0,48.999996,61.99999,46.0,75.00001,63.999996,57.0,83.0,41.0,59.0,58.99999,56.0,54.999996,31.999996,32.0,51.0,52.999996,53.99999,10.0,77.0,29.999998,23.999998,25.999998,67.0,69.0,68.0,3.0000005,55.0,40.999996,40.000004,50.0,53.999992,21.0,29.0,0.9999999,18.999996,13.000001,24.0,23.999996,6.0,27.0,32.0,11.0,31.000004,20.0,13.000001,28.999998,12.000001,13.0,34.000004,9.000002
